Paper Title,First Author,Venue,Year,Task,Dataset,Key Method,GitHub Link,Download Link,Relevance to QCXR-Flamingo,Notes
CURV: Coherent Uncertainty-Aware Reasoning in VLMs for X-Ray Report Generation,Jonggwon Park,NeurIPS,2025,CXR Report Generation,MIMIC-CXR,Uncertainty-aware reasoning,https://github.com/wwwadx/CURV,https://arxiv.org/pdf/2504.07416,⭐⭐⭐ High,Also known computationally as RadZero. Implements VL-CABS (Vision-Language Cross-Attention Based on Similarity) to align text embeddings with local image features. Evaluates uncertainty-aware reasoning with zero-shot multi-task capability.
Radiology Report Generation via Multi-objective Preference Optimization,Ting Xiao,AAAI,2025,CXR Report Generation,MIMIC-CXR,Multi-objective preference optimization (MPO),Unavailable,https://arxiv.org/pdf/2412.08901,⭐⭐ Medium,"Utilizes multi-objective reinforcement learning to align RRG outputs with complex, heterogeneous radiologist preferences. Leverages multi-dimensional reward functions to balance clinical accuracy and sentence fluency."
HC-LLM: Historical-Constrained Large Language Models for Radiology Report Generation,Tengfei Liu,AAAI,2025,CXR Report Generation,MIMIC-CXR,Historical context constraint in LLM,https://github.com/TengfeiLiu966/HC-LLM,https://arxiv.org/pdf/2412.11070,⭐⭐ Medium,A Historical-Constrained Large Language Model platform. Integrates historical patient data and longitudinal image comparisons into the reporting workflow to significantly improve follow-up examination analysis.
LLM-RG4: Flexible and Factual Radiology Report Generation across Diverse Input Contexts,Zhuhao Wang,AAAI,2025,CXR Report Generation,MIMIC-RG4 / MIMIC-CXR,LLM instruction-following for diverse clinical contexts,https://github.com/zh-Wang-Med/LLM-RG4,https://arxiv.org/pdf/2412.12001,⭐⭐⭐ High,Focuses on input diversity rather than single static benchmarks. Employs an adaptive token fusion module and uses the new MIMIC-RG4 dataset to handle complex real-world instruction-following contexts where varied information is available.
DAMPER: Dual-Stage Medical Report Generation with MeSH Alignment,Unknown,AAAI,2025,CXR Report Generation,MIMIC-CXR,Coarse MeSH alignment + fine hypergraph matching,Unavailable,AAAI 2025 Proceedings,⭐⭐ Medium,A dual-stage framework that simulates radiologist reading patterns. Utilizes MeSH-guided coarse-grained alignment and hypergraph-enhanced fine-grained node matching to reduce semantic fragmentation.
PriorRG: Prior-Guided Contrastive Pre-training and Coarse-to-Fine Decoding,Kang Liu,AAAI,2026,CXR Report Generation,MIMIC-CXR / IU-Xray,Prior-guided contrastive + coarse-to-fine,https://github.com/mk-runner/PriorRG,https://arxiv.org/pdf/2508.05353,⭐⭐⭐ High,A two-stage training pipeline focusing heavily on extracting prior patient clinical context. Uses prior-guided contrastive pre-training to establish spatiotemporal feature extraction aligned with real-world contextual radiologist workflows.
MedRAX: Medical Reasoning Agent for Chest X-ray,Adibvafa Fallahpour,ICML,2025,CXR Analysis + Report,MIMIC-CXR,Reasoning agent for CXR,https://github.com/bowang-lab/MedRAX,https://arxiv.org/pdf/2502.02673,⭐⭐ Medium,Introduces a versatile AI agent combining state-of-the-art CXR analysis pipelines with an MLLM framework. Dynamically evaluates complex medical queries using the comprehensive ChestAgentBench testing suite.
SEI: Structural Entities Extraction and Patient Indications Incorporation for CXR,Kang Liu,MICCAI,2024,CXR Report Generation,MIMIC-CXR / IU-Xray,Structural entity extraction + patient indication,https://github.com/mk-runner/SEI,MICCAI 2024 Proceedings,⭐⭐⭐ High,Implements Structural Entity Extraction (SEE) to suppress noisy presentation-style vocabulary. Incorporates patient indications to boost zero-shot cross-modal attention generation capabilities.
CXRL: Text-Driven CXR Generation with Reinforcement Learning,Woojung Han,MICCAI,2024,CXR Generation,MIMIC-CXR,RL with comparative feedback for CXR generation,https://github.com/MICV-yonsei/CXRL,MICCAI 2024 Proceedings,⭐ Low,Targets text-to-image Generation (rather than Image-to-Text). Uses reinforcement learning with comparative feedback (RLCF) across domain-specific reward models to control physiological constraints in the generated CXRs.
TRRG: Truthful Radiology Report Generation with Cross-Modal Disease Clue Enhanced LLMs,Unknown,MICCAI,2025,CXR Report Generation,MIMIC-CXR,Cross-modal disease clues + LLM,Unavailable,MICCAI 2025 Proceedings,⭐⭐ Medium,Truthful Radiology Report Generation approach. Employs cross-modal strategies bridging identified disease clusters to prompt the underlying generative LLM safely.
Semantic-Aware CXR Report Generation with Domain-Specific Lexicon,Unknown,MICCAI,2025,CXR Report Generation,MIMIC-CXR / IU-Xray,Domain lexicon + controlled retrieval,Unavailable,MICCAI 2025 Proceedings,⭐⭐⭐ High,Approaches the semantic disconnect between generic text generation and specific medical dictionaries. Focuses on constrained lexical retrieval during generation decoding steps.
EKAGen: Instance-level Expert Knowledge and Aggregate Discriminative Attention,Unknown,CVPR,2024,CXR Report Generation,MIMIC-CXR,Expert knowledge + discriminative attention,https://github.com/hnjzbss/EKAGen,CVPR 2024 Proceedings,⭐⭐ Medium,"Injects instance-level expert knowledge via discriminative attention modules, filtering generic image patches and prioritizing semantically dense diagnostic areas."
InVERGe: Intelligent Visual Encoder for Bridging Modalities in Report Generation,Unknown,CVPR,2024,CXR Report Generation,MIMIC-CXR,Cross-Modal Query Fusion Layer (CMQFL),https://github.com/labsroy007/InVERGe,CVPR 2024 Proceedings,⭐⭐⭐ High,Integrates a Cross-Modal Query Fusion Layer (CMQFL) to intelligently bridge visual encoder outputs directly with generative linguistic structures without heavy catastrophic forgetting.
R2Gen-Mamba: Selective State Space Model for Radiology Report Generation,Yongheng Sun,ISBI,2025,CXR Report Generation,MIMIC-CXR / IU-Xray,Mamba (SSM) for report generation,https://github.com/YonghengSun1997/R2Gen-Mamba,https://arxiv.org/pdf/2312.00752,⭐⭐⭐ High,The first paper integrating the Selective State Space Model (Mamba) into RRG to dramatically cut computational training complexity while preserving linear long-range context dependencies historically monopolized by Transformers.
RADAR: Enhancing Radiology Report Generation with Supplementary Knowledge Injection,Wenjun Hou,ACL,2025,CXR Report Generation,MIMIC-CXR,Knowledge injection via RAG,https://github.com/wjhou/Radar,https://arxiv.org/pdf/2505.14318,⭐⭐ Medium,Combines inherent LLM parameters with externally retrieved clinical guidelines (RAG architecture). Systematically filters repetitive injection via a supplementary knowledge validation stage.
Libra: Leveraging Temporal Images for Biomedical Radiology Analysis,Xi Zhang,ACL,2025,CXR Report Generation,MIMIC-CXR,Temporal multi-image analysis,https://github.com/X-iZhang/Libra,https://arxiv.org/pdf/2411.19378,⭐⭐ Medium,Builds a Temporal Alignment Connector (TAC) specifically to encode comparative differences between current and historical prior-images. Vastly outperforms single-event static modeling on longitudinal metrics.
CheXagent: Towards a Foundation Model for Chest X-Ray Interpretation,Zhihong Chen,arXiv,2024,CXR Multitask + Report,CheXpert / MIMIC-CXR / OpenI / PadChest,CXR-specific foundation model,https://github.com/Stanford-AIMI/CheXagent,https://arxiv.org/pdf/2401.12208,⭐⭐⭐ High,Major foundation model standard developed at Stanford. Achieves state-of-the-art multi-task performance by interpreting highly detailed chest x-ray semantics through pure foundational scale. Must be reviewed carefully.
XrayGPT: Chest Radiographs Summarization using Large Medical VLMs,Omkar Thawakar,ACLW,2024,CXR Report Generation,OpenI / MIMIC-CXR,GPT-based CXR summarization,https://github.com/mbzuai-oryx/XrayGPT,https://arxiv.org/pdf/2306.07971,⭐⭐ Medium,"A massive vision-language conversational agent utilizing MedClip as the visual encoder linearly projected into a Vicuna LLM, specifically fine-tuned on 217k detailed, high-quality interactive radiograph scenarios."
BioBridge: Bridging Biomedical Foundation Models via Knowledge Graphs,Zifeng Wang,ICLR,2024,Biomedical Multimodal,Multiple,Knowledge graph bridging for biomedical models,https://github.com/RyanWangZf/BioBridge,https://arxiv.org/pdf/2310.03320,⭐⭐ Medium,Unifies completely distinct unimodal biomedical foundation models via an abstract structural Knowledge Graph. Avoids fine-tuning and instead uses the graph to calculate translational vectors across data silos.
RRG-Mamba: Efficient Radiology Report Generation with State Space Model,Xiaodi Hou,IJCAI,2025,CXR Report Generation,MIMIC-CXR / IU-Xray,Mamba-based efficient architecture,https://github.com/Eleanorhxd/RRG-Mamba,IJCAI 2025 Proceedings,⭐⭐⭐ High,Further validates Mamba for automated radiology report generation. Replaces standard fixed Mamba embeddings with Rotary Position Encodings (RoPE) to effectively model complex spatial geometries in vision data.
STREAM: Spatio-Temporal and Retrieval-Augmented Modeling for CXR,Paul Knoll,TMI,2025,CXR Report Generation,MIMIC-CXR,Spatio-temporal + RAG,https://github.com/yangyan22/STREAM,https://arxiv.org/pdf/2311.03140,⭐⭐ Medium,Verified STREAM generally focuses on spatial-temporal tracking coupled with retrieval-augmented modeling for time-series CXR progression.
X-WIN: Building Chest Radiograph World Model via Predictive Sensing,Zefan Yang,CVPR,2026,CXR Analysis,MIMIC-CXR,World model for CXR,https://github.com/RPIDIAL/X-WIN,https://arxiv.org/pdf/2511.14918,⭐⭐ Medium,"Constructs a World Model that distills 3D volumetric intelligence from CT scans directly into 2D Chest X-Ray parameters, radically strengthening diagnostic awareness of overlapping anatomical structures."
CoGaze: Context- and Gaze-Guided Vision-Language Pretraining for CXR,Kang Liu,arXiv,2026,CXR Pretraining + Report,MIMIC-CXR,Gaze-guided VLP,https://github.com/mk-runner/CoGaze,https://arxiv.org/pdf/2603.26049,⭐⭐ Medium,Models radiologist visual gaze-tracking mechanisms alongside context-infused clinical intents. Implements multi-level semantic alignment through contrastive pre-training to faithfully mimic biological radiologist reading workflows.
HKRG: Hierarchical Knowledge Integration for Radiology Report Generation,Xi Chen,ESWA,2025,CXR Report Generation,MIMIC-CXR / IU-Xray,Hierarchical knowledge integration,https://github.com/LuckyAI-wb/HKRG,https://arxiv.org/pdf/2408.00374,⭐⭐ Medium,"Focuses on multi-level mapping strategies, taking generalized expert knowledge libraries and injecting them hierarchically into specific visual feature extractions over the MIMIC dataset."
CheXOne: A Reasoning-Enabled Vision-Language Foundation Model for CXR Interpretation,Yabin Zhang,arXiv,2026,CXR Report Generation,Multiple,Reasoning-enabled VLM for CXR,https://github.com/YBZh/CheXOne,https://arxiv.org/pdf/2604.00493,⭐⭐ Medium,"Reasoning-enabled Foundation Model. Overcomes the black box prediction failure of previous models by explicitly outputting visual reasoning chains parallel to language outputs, enabling high-trust reporting."
CMCRL: Cross-Modal Causal Representation Learning for Radiology Report Generation,Ke Zou,TIP,2025,CXR Report Generation,MIMIC-CXR / IU-Xray,Causal representation learning,https://github.com/WissingChen/CMCRL,https://arxiv.org/pdf/2404.06798,⭐⭐⭐ High,Medical Phrase Grounding (MRG) using uMedGround via Cross-Modal Causal alignment. Embeds specific <BOX> tokens to mathematically lock text generations against distinct causal boundary boxes in the physical image.
